,최초승차역ID,최종하차역ID,총통행거리,이용량,이비카드정류장ID_승차,정류소명_승차,표준정류장ID_승차,WGS84위도_승차,WGS84경도_승차,이비카드정류장ID_하차,정류소명_하차,표준정류장ID_하차,WGS84위도_하차,WGS84경도_하차,직선거리
53291,4100048.0,4100054.0,2990,11,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100054.0,대황교.활주로,233000706.0,37.22765,127.0246667,2.97363
53378,4100048.0,4102874.0,2850,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4102874.0,진안중앙교회,233002003.0,37.2144667,127.03686670000002,1.2506
53379,4100048.0,4102879.0,34090,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4102879.0,외국인보호소,233000761.0,37.20805,126.76711670000002,24.04486
53380,4100048.0,4102880.0,66150,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4102880.0,마도사거리,233000736.0,37.2069,126.77425,23.41091
53381,4100048.0,4102883.0,32270,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4102883.0,재래시장.마도삼거리,233000763.0,37.2063333,126.7808,22.82997
53382,4100048.0,4102911.0,21520,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4102911.0,비봉중고등학교,233000778.0,37.2367167,126.8732167,15.1039
53383,4100048.0,4102923.0,24290,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4102923.0,향남부영7.롯데씨네마,233002414.0,37.1143167,126.91105,15.01881
53384,4100048.0,4102932.0,2340,10,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4102932.0,주공12단지,233002007.0,37.2168167,127.04201670000002,1.53402
53440,4100048.0,4107958.0,18170,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4107958.0,매송초등학교,233002174.0,37.24885,126.9277,11.04445
53441,4100048.0,4108007.0,1290,14,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108007.0,병점화남아파트,233000641.0,37.21196670000001,127.03755,0.96775
53442,4100048.0,4108007.0,1350,7,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108007.0,병점화남아파트,233000641.0,37.21196670000001,127.03755,0.96775
53443,4100048.0,4108007.0,1352,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108007.0,병점화남아파트,233000641.0,37.21196670000001,127.03755,0.96775
53444,4100048.0,4108010.0,1870,4,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108010.0,주공1.2단지,233000078.0,37.2079667,127.0409167,0.55965
53445,4100048.0,4108011.0,11162,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108011.0,우남퍼스트빌,233000080.0,37.2076167,127.0429333,0.61733
53446,4100048.0,4108011.0,18860,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108011.0,우남퍼스트빌,233000080.0,37.2076167,127.0429333,0.61733
53447,4100048.0,4108012.0,2280,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108012.0,주공4단지,233000087.0,37.2081667,127.0445,0.75533
53448,4100048.0,4108012.0,12470,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108012.0,주공4단지,233000087.0,37.2081667,127.0445,0.75533
53449,4100048.0,4108013.0,2600,9,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108013.0,신창2차아파트,233000086.0,37.2096833,127.0475833,1.0695
53450,4100048.0,4108013.0,2690,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108013.0,신창2차아파트,233000086.0,37.2096833,127.0475833,1.0695
53451,4100048.0,4108015.0,2340,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108015.0,안화초교.주공8.9단지,233000072.0,37.2132,127.0459,1.27888
53452,4100048.0,4108015.0,6581,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108015.0,안화초교.주공8.9단지,233000072.0,37.2132,127.0459,1.27888
53453,4100048.0,4108016.0,3080,9,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108016.0,안화초교.주공8.9단지,233000071.0,37.2133,127.0460833,1.29674
53454,4100048.0,4108018.0,2120,13,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108018.0,주공11단지.우남퍼스트빌2차,233000065.0,37.2155167,127.0451167,1.47768
53455,4100048.0,4108018.0,3410,5,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108018.0,주공11단지.우남퍼스트빌2차,233000065.0,37.2155167,127.0451167,1.47768
53456,4100048.0,4108020.0,2640,6,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108020.0,주공7.8단지,233000107.0,37.2143833,127.04955,1.57093
53457,4100048.0,4108020.0,3930,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108020.0,주공7.8단지,233000107.0,37.2143833,127.04955,1.57093
53458,4100048.0,4108022.0,2830,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108022.0,신미주아파트.주공6단지,233000106.0,37.2144167,127.05175,1.70133
53459,4100048.0,4108022.0,4120,4,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108022.0,신미주아파트.주공6단지,233000106.0,37.2144167,127.05175,1.70133
53460,4100048.0,4108026.0,5040,6,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108026.0,아너스호텔,233001456.0,37.2201333,127.0584833,2.57285
53461,4100048.0,4108031.0,4490,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108031.0,삼성반도체,233000103.0,37.2250833,127.064,3.30849
53462,4100048.0,4108031.0,5770,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108031.0,삼성반도체,233000103.0,37.2250833,127.064,3.30849
53463,4100048.0,4108034.0,5390,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108034.0,반월리큰고개,233000116.0,37.233,127.0648,4.03848
53464,4100048.0,4108034.0,5400,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108034.0,반월리큰고개,233000116.0,37.233,127.0648,4.03848
53465,4100048.0,4108034.0,6680,10,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108034.0,반월리큰고개,233000116.0,37.233,127.0648,4.03848
53466,4100048.0,4108035.0,6680,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108035.0,반월리큰고개,233001211.0,37.23255,127.0647833,3.99681
53467,4100048.0,4108035.0,15730,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108035.0,반월리큰고개,233001211.0,37.23255,127.0647833,3.99681
53468,4100048.0,4108036.0,5802,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108036.0,신영통현대타운.두산위브,233000118.0,37.2354667,127.06246670000002,4.15671
53469,4100048.0,4108036.0,7020,6,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4108036.0,신영통현대타운.두산위브,233000118.0,37.2354667,127.06246670000002,4.15671
53590,4100048.0,4115505.0,10180,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4115505.0,한화.호반,233002419.0,37.1967833,127.1045667,5.89183
53591,4100048.0,4115603.0,10750,4,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4115603.0,호반베르디움.롯데캐슬,233002420.0,37.1968833,127.11105,6.46084
53592,4100048.0,4115605.0,10410,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4115605.0,모아미래도.KCC스위첸,233002422.0,37.2034333,127.11728329999998,6.97312
53593,4100048.0,4116181.0,12760,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4116181.0,한화꿈에그린,233002437.0,37.1946,127.0998833,5.51784
53594,4100048.0,4116182.0,9690,4,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4116182.0,한화꿈에그린,233002438.0,37.1943667,127.0999833,5.53116
53595,4100048.0,4116267.0,2840,5,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4116267.0,안화고등학교,233002394.0,37.2114333,127.04751670000002,1.20354
53596,4100048.0,4116269.0,18690,4,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4116269.0,향남홈플러스,233002360.0,37.1315833,126.9223833,13.02097
53608,4100048.0,4116671.0,9083,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4116671.0,수원대학교,233000576.0,37.2141667,126.97915,5.39745
53609,4100048.0,4116671.0,10200,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4116671.0,수원대학교,233000576.0,37.2141667,126.97915,5.39745
53610,4100048.0,4116674.0,10190,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4116674.0,와우2리,233000945.0,37.2159833,126.9763167,5.68889
53611,4100048.0,4116674.0,10197,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4116674.0,와우2리,233000945.0,37.2159833,126.9763167,5.68889
53794,4100048.0,4117366.0,5360,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117366.0,신한미지엔아파트앞,233000667.0,37.20035,127.00915,2.62448
53795,4100048.0,4117366.0,5657,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117366.0,신한미지엔아파트앞,233000667.0,37.20035,127.00915,2.62448
53796,4100048.0,4117378.0,8260,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117378.0,괘랑2리.차운혁충신정려문,233001126.0,37.1828333,126.99315,4.62075
53797,4100048.0,4117383.0,9200,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117383.0,왕재고개,233000664.0,37.1761833,126.98623329999998,5.52889
53798,4100048.0,4117384.0,7480,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117384.0,정남파출소,233001124.0,37.1734167,126.9840167,5.86325
53799,4100048.0,4117384.0,7540,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117384.0,정남파출소,233001124.0,37.1734167,126.9840167,5.86325
53800,4100048.0,4117384.0,7760,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117384.0,정남파출소,233001124.0,37.1734167,126.9840167,5.86325
53801,4100048.0,4117384.0,7780,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117384.0,정남파출소,233001124.0,37.1734167,126.9840167,5.86325
53802,4100048.0,4117384.0,9560,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117384.0,정남파출소,233001124.0,37.1734167,126.9840167,5.86325
53803,4100048.0,4117390.0,9190,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117390.0,덕신상가,233001579.0,37.1591833,126.98211670000002,7.00428
53804,4100048.0,4117390.0,9370,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117390.0,덕신상가,233001579.0,37.1591833,126.98211670000002,7.00428
53805,4100048.0,4117390.0,9410,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117390.0,덕신상가,233001579.0,37.1591833,126.98211670000002,7.00428
53806,4100048.0,4117390.0,9430,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117390.0,덕신상가,233001579.0,37.1591833,126.98211670000002,7.00428
53807,4100048.0,4117396.0,7550,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4117396.0,래미안영통마크원1단지,233002370.0,37.2446833,127.0412167,4.60767
53814,4100048.0,4120434.0,31310,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120434.0,남양아이파크,233000163.0,37.2053833,126.83345,18.16615
53815,4100048.0,4120447.0,10840,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120447.0,한백초중교,233000135.0,37.207,127.11475,6.76111
53816,4100048.0,4120449.0,11270,3,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120449.0,반도유보라.대우푸르지오,233000150.0,37.1987833,127.1152,6.80736
53817,4100048.0,4120450.0,11670,6,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120450.0,호반베르디움.롯데캐슬,233000134.0,37.1971833,127.11123329999998,6.47338
53818,4100048.0,4120457.0,6700,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120457.0,예당고사거리,233002440.0,37.2091833,127.08181670000002,3.88726
53819,4100048.0,4120516.0,23230,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120516.0,향남주공1.2단지,233002411.0,37.1188167,126.91585,14.36923
53820,4100048.0,4120516.0,23290,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120516.0,향남주공1.2단지,233002411.0,37.1188167,126.91585,14.36923
53821,4100048.0,4120750.0,1800,27,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120750.0,롯데시네마,233002403.0,37.21425,127.0426333,1.27015
53822,4100048.0,4120750.0,1860,36,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4120750.0,롯데시네마,233002403.0,37.21425,127.0426333,1.27015
53823,4100048.0,4121010.0,13520,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4121010.0,성원아파트.이지더원,233002430.0,37.2090667,127.1084167,6.22073
53829,4100048.0,4121766.0,7470,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4121766.0,한미약품,233002442.0,37.2092333,127.09185,4.76628
53830,4100048.0,4121766.0,7590,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4121766.0,한미약품,233002442.0,37.2092333,127.09185,4.76628
53834,4100048.0,4121994.0,9150,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4121994.0,반도유보라,233003048.0,37.1812167,127.10495,6.37367
53835,4100048.0,4121994.0,9740,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4121994.0,반도유보라,233003048.0,37.1812167,127.10495,6.37367
53836,4100048.0,4121999.0,10660,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4121999.0,호반베르디움3차,233000126.0,37.17945,127.1145667,7.237
53847,4100048.0,4122786.0,7780,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4122786.0,동탄초교,233002494.0,37.1881333,127.09293329999998,5.10369
53848,4100048.0,4122789.0,7540,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4122789.0,행복주택,233002497.0,37.1866167,127.0918167,5.06975
53860,4100048.0,4130051.0,10710,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130051.0,동탄2부영아파트,233000981.0,37.20475,127.1162667,6.8849
53861,4100048.0,4130058.0,12320,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130058.0,신안인스빌2차,233000129.0,37.2000167,127.11596670000002,6.86637
53862,4100048.0,4130059.0,12580,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130059.0,모아.반도아파트,233000980.0,37.2020333,127.11445,6.72371
53863,4100048.0,4130065.0,10790,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130065.0,청목초.신안1차,233000965.0,37.1946,127.11943329999998,7.22896
53864,4100048.0,4130084.0,5762,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130084.0,성호아파트,233001289.0,37.1997,127.0427,0.54345
53865,4100048.0,4130096.0,4550,3,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130096.0,반월자이에뜨,233000146.0,37.2280667,127.0464333,2.84103
53866,4100048.0,4130097.0,12220,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130097.0,한화.호반,233000139.0,37.1970833,127.105,5.92592
53867,4100048.0,4130106.0,3110,7,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130106.0,SK뷰2차아파트,233002035.0,37.2165167,127.0519333,1.88799
53868,4100048.0,4130114.0,8620,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130114.0,동탄2파출소.농협,233001166.0,37.2092,127.1049,5.91265
53869,4100048.0,4130117.0,11430,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130117.0,대우푸르지오.호반베르디움2차,233001168.0,37.1981333,127.11685,6.95873
53870,4100048.0,4130118.0,4340,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130118.0,기산삼거리,233002037.0,37.2263167,127.04743329999998,2.6775
53871,4100048.0,4130123.0,4870,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130123.0,삼성반도체후문,233001212.0,37.2276667,127.07068329999998,3.9291
53872,4100048.0,4130123.0,5392,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130123.0,삼성반도체후문,233001212.0,37.2276667,127.07068329999998,3.9291
53873,4100048.0,4130128.0,1600,17,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130128.0,진안동,233000640.0,37.2133667,127.04065,1.13471
53874,4100048.0,4130128.0,1660,32,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130128.0,진안동,233000640.0,37.2133667,127.04065,1.13471
53875,4100048.0,4130130.0,1900,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130130.0,한일타운아파트,233000098.0,37.2003333,127.0377,0.33836
53876,4100048.0,4130134.0,2520,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130134.0,송산동입구,233000669.0,37.20585,127.0177833,1.86093
53877,4100048.0,4130134.0,18700,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130134.0,송산동입구,233000669.0,37.20585,127.0177833,1.86093
53878,4100048.0,4130135.0,5940,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130135.0,안녕농협삼거리,233000604.0,37.2053,127.01425,2.16359
53880,4100048.0,4130193.0,34750,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130193.0,대광아파트,233001043.0,37.19425,126.8336833,18.17323
53881,4100048.0,4130223.0,11680,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130223.0,정남행정복합센터,233002123.0,37.1615167,126.9726833,7.45892
53882,4100048.0,4130224.0,8190,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130224.0,정남농협,233000663.0,37.1698167,126.98328329999998,6.15072
53883,4100048.0,4130224.0,9970,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4130224.0,정남농협,233000663.0,37.1698167,126.98328329999998,6.15072
53908,4100048.0,4151651.0,650,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4151651.0,병점역사거리,233000702.0,37.2069167,127.0356333,0.47797
53909,4100048.0,4151651.0,710,5,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4151651.0,병점역사거리,233000702.0,37.2069167,127.0356333,0.47797
53910,4100048.0,4151651.0,12930,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4151651.0,병점역사거리,233000702.0,37.2069167,127.0356333,0.47797
53913,4100048.0,4151723.0,8776,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4151723.0,우남아파트,233000068.0,37.1993667,127.0485167,0.98514
53950,4100048.0,4170243.0,5390,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170243.0,동탄1동주민센터,233001679.0,37.20665,127.0725667,3.03561
53951,4100048.0,4170255.0,6230,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170255.0,반송고등학교,233001961.0,37.1932167,127.07738329999998,3.61768
53952,4100048.0,4170256.0,19760,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170256.0,미즈파크병원,233001672.0,37.20945,127.0602333,2.03846
53953,4100048.0,4170265.0,1850,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170265.0,병점고등학교,233001663.0,37.20515,127.0433667,0.4736
53954,4100048.0,4170266.0,2940,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170266.0,신미주아파트,233001664.0,37.2089333,127.0494667,1.152
53955,4100048.0,4170271.0,12538,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170271.0,병점사거리,233000703.0,37.2083833,127.0344333,0.67262
53956,4100048.0,4170271.0,17600,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170271.0,병점사거리,233000703.0,37.2083833,127.0344333,0.67262
53957,4100048.0,4170272.0,4480,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170272.0,센트럴파크,233001674.0,37.2077333,127.06383329999998,2.2928
53958,4100048.0,4170327.0,10080,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170327.0,금성백조.영천유,233002434.0,37.2034167,127.10741670000002,6.09927
53959,4100048.0,4170340.0,3684,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170340.0,유엔아이,233001920.0,37.20385,127.03383329999998,0.42219
53960,4100048.0,4170343.0,3470,42,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170343.0,참누리아파트.기산중학교,233000076.0,37.2197,127.05195,2.1757
53961,4100048.0,4170343.0,5480,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170343.0,참누리아파트.기산중학교,233000076.0,37.2197,127.05195,2.1757
53962,4100048.0,4170347.0,12870,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170347.0,신창미션힐,233001622.0,37.2035167,127.04195,0.30209
53963,4100048.0,4170348.0,11520,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170348.0,주공3단지.병점2동주민센터,233002347.0,37.2109833,127.04413329999998,0.98712
53964,4100048.0,4170351.0,2155,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170351.0,주공4단지.신창2차아파트,233002345.0,37.2071833,127.04665,0.8373
53965,4100048.0,4170352.0,1540,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170352.0,한신아파트,233002344.0,37.2033167,127.04201670000002,0.30704
53966,4100048.0,4170353.0,2215,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170353.0,신미주아파트앞,233000109.0,37.2146333,127.05178329999998,1.72092
53967,4100048.0,4170354.0,8190,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170354.0,센트럴상록.동원1차,233000122.0,37.20925,127.1000167,5.48372
53968,4100048.0,4170378.0,6860,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170378.0,한림대병원앞,233001226.0,37.2173333,127.07793329999998,3.82087
53969,4100048.0,4170392.0,9840,2,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170392.0,계룡.영천초,233000131.0,37.2040333,127.10475,5.86362
53970,4100048.0,4170394.0,10360,3,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170394.0,반도1차.경남,233000164.0,37.2031833,127.1106,6.38121
53971,4100048.0,4170408.0,2190,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170408.0,반정동,233002462.0,37.22145,127.02781670000002,2.23081
53972,4100048.0,4170408.0,2250,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170408.0,반정동,233002462.0,37.22145,127.02781670000002,2.23081
53974,4100048.0,4170515.0,4190,3,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170515.0,주공휴먼시아후문,233001697.0,37.1971167,127.06575,2.50529
53975,4100048.0,4170522.0,11040,5,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4170522.0,호반3차.신리고,233002373.0,37.1796333,127.1188333,7.5828
