,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,govern,lat,lng,이비노선ID,표준노선ID
7285,88135,233000004,1004,22,상안1리,233000742,37059.0,화성시,37.1851,126.7098667,233000004.0,41037102.0
7286,88136,233000004,1004,23,신흥사,233000741,37062.0,화성시,37.1898333,126.71363329999998,233000004.0,41037102.0
7287,88137,233000004,1004,24,상안리.한국발효,233000879,36767.0,화성시,37.19300000000001,126.7167333,233000004.0,41037102.0
7288,88138,233000004,1004,25,육일2리.코스코밸리,233000854,37068.0,화성시,37.1995,126.72285,233000004.0,41037102.0
7289,88139,233000004,1004,26,육일리교차로,233001482,37557.0,화성시,37.2033333,126.7244,233000004.0,41037102.0
7290,88140,233000004,1004,27,육일리마을회관,233002330,55172.0,화성시,37.2082167,126.7258667,233000004.0,41037102.0
7291,88141,233000004,1004,28,육일리.육교동입구,233000269,37369.0,화성시,37.2097333,126.7282333,233000004.0,41037102.0
7292,88142,233000004,1004,29,사강복지회관,233000855,37080.0,화성시,37.2127,126.73265,233000004.0,41037102.0
7293,88143,233000004,1004,30,사강시장,233000268,37084.0,화성시,37.2130167,126.73663329999998,233000004.0,41037102.0
7294,88144,233000004,1004,31,사강정형외과,233000267,37088.0,화성시,37.2133833,126.7389833,233000004.0,41037102.0
7295,88145,233000004,1004,32,봉가1리,233000289,37094.0,화성시,37.2122833,126.74491670000002,233000004.0,41037102.0
7296,88146,233000004,1004,33,돼지고개.삼존리물미,233000740,37098.0,화성시,37.2114,126.7537667,233000004.0,41037102.0
7297,88147,233000004,1004,34,삼존리,233000739,37099.0,화성시,37.2111833,126.75905,233000004.0,41037102.0
7298,88148,233000004,1004,35,슬항3리,233002153,55096.0,화성시,37.2093333,126.76288329999998,233000004.0,41037102.0
7299,88149,233000004,1004,36,구리섬휴게소,233000738,37102.0,화성시,37.2084833,126.7647,233000004.0,41037102.0
7300,88150,233000004,1004,37,외국인보호소,233000737,37103.0,화성시,37.2079667,126.76655,233000004.0,41037102.0
7301,88151,233000004,1004,38,마도사거리,233000736,37106.0,화성시,37.2069,126.77425,233000004.0,41037102.0
7302,88152,233000004,1004,39,재래시장.마도삼거리,233000735,37107.0,화성시,37.2063,126.78006670000002,233000004.0,41037102.0
7303,88153,233000004,1004,40,두곡리,233000734,37110.0,화성시,37.2048,126.7841667,233000004.0,41037102.0
7304,88154,233000004,1004,41,쌍송리입구.은장고개,233000733,37115.0,화성시,37.2022,126.7890667,233000004.0,41037102.0
7305,88155,233000004,1004,42,남양육리.남양1동,233000732,36008.0,화성시,37.2039,126.8015333,233000004.0,41037102.0
7306,88156,233000004,1004,43,우림아파트,233000731,36009.0,화성시,37.2054833,126.80585,233000004.0,41037102.0
7307,88157,233000004,1004,44,경기남부수협.보건소,233002170,55115.0,화성시,37.2069167,126.8118833,233000004.0,41037102.0
7308,88158,233000004,1004,45,남양성지,233000841,36015.0,화성시,37.20735,126.81498329999998,233000004.0,41037102.0
7309,88159,233000004,1004,46,남양사거리,233000730,36019.0,화성시,37.2091667,126.81901670000002,233000004.0,41037102.0
7310,88160,233000004,1004,47,남양읍행정복지센터,233000729,36025.0,화성시,37.2117667,126.8234167,233000004.0,41037102.0
7311,88161,233000004,1004,48,동수원남양병원,233000728,36029.0,화성시,37.2145333,126.82956670000002,233000004.0,41037102.0
7312,88162,233000004,1004,49,북양1통.봉림사,233000727,36035.0,화성시,37.2185833,126.83213329999998,233000004.0,41037102.0
7313,88163,233000004,1004,50,북양1통.염티고개,233000726,36043.0,화성시,37.2220833,126.83983329999998,233000004.0,41037102.0
7314,88164,233000004,1004,51,양노3리,233000725,37153.0,화성시,37.22685,126.8582167,233000004.0,41037102.0
7315,88165,233000004,1004,52,양노리,233002118,55087.0,화성시,37.2288333,126.85995,233000004.0,41037102.0
7319,88169,233000004,1004,56,천천리입구,233000712,37316.0,화성시,37.24365,126.94741670000002,233000004.0,41037102.0
7320,88170,233000004,1004,57,삼미.쌍용아파트,233000711,37324.0,화성시,37.2432,126.9533,233000004.0,41037102.0
7342,88192,233000004,1004,79,삼미.쌍용아파트,233000782,37325.0,화성시,37.2434333,126.9534833,233000004.0,41037102.0
7343,88193,233000004,1004,80,천천리입구,233000781,37321.0,화성시,37.24385,126.94825,233000004.0,41037102.0
7348,88198,233000004,1004,85,양노리,233000773,37154.0,화성시,37.2290833,126.8597667,233000004.0,41037102.0
7349,88199,233000004,1004,86,양노3리,233003082,55393.0,화성시,37.2267667,126.8577167,233000004.0,41037102.0
7350,88200,233000004,1004,87,북양1통.염티고개,233000772,36042.0,화성시,37.2221333,126.83903329999998,233000004.0,41037102.0
7351,88201,233000004,1004,88,북양1통,233000771,37776.0,화성시,37.21895,126.8318,233000004.0,41037102.0
7352,88202,233000004,1004,89,동수원남양병원,233000770,36030.0,화성시,37.2147333,126.8295167,233000004.0,41037102.0
7353,88203,233000004,1004,90,남양읍행정복지센터,233000769,36026.0,화성시,37.21195,126.8233667,233000004.0,41037102.0
7354,88204,233000004,1004,91,남양사거리,233000768,36021.0,화성시,37.2094333,126.8191,233000004.0,41037102.0
7355,88205,233000004,1004,92,남양성지,233000767,36014.0,화성시,37.2076167,126.8160667,233000004.0,41037102.0
7356,88206,233000004,1004,93,경기남부수협.보건소,233002171,55116.0,화성시,37.2070333,126.81185,233000004.0,41037102.0
7357,88207,233000004,1004,94,우림아파트,233000766,36010.0,화성시,37.20565,126.80613329999998,233000004.0,41037102.0
7358,88208,233000004,1004,95,남양육리.남양1동,233000765,36007.0,화성시,37.2039833,126.80096670000002,233000004.0,41037102.0
7359,88209,233000004,1004,96,은장고개,233001298,37114.0,화성시,37.2026667,126.7882833,233000004.0,41037102.0
7360,88210,233000004,1004,97,두곡리,233000764,37109.0,화성시,37.2055333,126.7831667,233000004.0,41037102.0
7361,88211,233000004,1004,98,재래시장.마도삼거리,233000763,37108.0,화성시,37.2063333,126.7808,233000004.0,41037102.0
7362,88212,233000004,1004,99,마도사거리,233000762,37105.0,화성시,37.20715,126.7746,233000004.0,41037102.0
7363,88213,233000004,1004,100,외국인보호소,233000761,37104.0,화성시,37.20805,126.76711670000002,233000004.0,41037102.0
7364,88214,233000004,1004,101,구리섬앞,233000857,37562.0,화성시,37.2087167,126.7646,233000004.0,41037102.0
7365,88215,233000004,1004,102,구리섬휴게소,233000760,37101.0,화성시,37.2094667,126.76305,233000004.0,41037102.0
7366,88216,233000004,1004,103,삼존리자동차성능시험장,233000759,37100.0,화성시,37.2108,126.7605167,233000004.0,41037102.0
7367,88217,233000004,1004,104,돼지고개.삼존리물미,233000877,37097.0,화성시,37.2116833,126.7553833,233000004.0,41037102.0
7368,88218,233000004,1004,105,봉가1리,233000878,37095.0,화성시,37.2122833,126.74531670000002,233000004.0,41037102.0
7369,88219,233000004,1004,106,송산농협.사강정형외과,233000858,37089.0,화성시,37.21346670000001,126.7389,233000004.0,41037102.0
7370,88220,233000004,1004,107,사강시장,233000859,37085.0,화성시,37.2131833,126.7369167,233000004.0,41037102.0
7371,88221,233000004,1004,108,사강복지회관,233000271,37081.0,화성시,37.2128667,126.7326333,233000004.0,41037102.0
7372,88222,233000004,1004,109,육일리.육교동입구,233000270,37370.0,화성시,37.2093667,126.72775,233000004.0,41037102.0
7373,88223,233000004,1004,110,육일리마을회관,233000136,36440.0,화성시,37.2072833,126.7249833,233000004.0,41037102.0
7374,88224,233000004,1004,111,육일리교차로,233001483,37556.0,화성시,37.2037,126.72428329999998,233000004.0,41037102.0
7375,88225,233000004,1004,112,육일2리.코스코밸리,233000860,37069.0,화성시,37.2001667,126.7228833,233000004.0,41037102.0
7376,88226,233000004,1004,113,상안리.한국발효,233000758,37471.0,화성시,37.19305,126.7166,233000004.0,41037102.0
7377,88227,233000004,1004,114,신흥사,233000861,37061.0,화성시,37.18991670000001,126.7135,233000004.0,41037102.0
7378,88228,233000004,1004,115,상안1.2리,233000756,37048.0,화성시,37.1825667,126.7064667,233000004.0,41037102.0
7379,88229,233000004,1004,116,상안2리.SK주유소,233000862,37054.0,화성시,37.1795833,126.70815,233000004.0,41037102.0
7380,88230,233000004,1004,117,서신,233000863,37043.0,화성시,37.1694333,126.70508329999998,233000004.0,41037102.0
7381,88231,233000004,1004,118,매화리,233000324,37041.0,화성시,37.1687,126.7036333,233000004.0,41037102.0
7382,88232,233000004,1004,119,서신중학교후문,233003119,55515.0,화성시,37.1699667,126.7018,233000004.0,41037102.0
7383,88233,233000004,1004,120,목성머리,233000755,37578.0,화성시,37.1731167,126.6972,233000004.0,41037102.0
7384,88234,233000004,1004,121,광평리,233000864,37031.0,화성시,37.1729833,126.69441670000002,233000004.0,41037102.0
7385,88235,233000004,1004,122,느티나무앞,233001888,37927.0,화성시,37.1743667,126.6914,233000004.0,41037102.0
7386,88236,233000004,1004,123,광평삼거리,233000754,37564.0,화성시,37.1748167,126.6889167,233000004.0,41037102.0
7387,88237,233000004,1004,124,숲풀안앞,233001876,37783.0,화성시,37.1742833,126.6856,233000004.0,41037102.0
7388,88238,233000004,1004,125,장외리,233000865,37020.0,화성시,37.17425,126.6807,233000004.0,41037102.0
7389,88239,233000004,1004,126,장외리.지긋말,233000866,37016.0,화성시,37.1684,126.6783167,233000004.0,41037102.0
7390,88240,233000004,1004,127,큰말입구,233000867,37015.0,화성시,37.1661167,126.67508329999998,233000004.0,41037102.0
7391,88241,233000004,1004,128,송교1리,233000868,37012.0,화성시,37.1636,126.6689,233000004.0,41037102.0
7392,88242,233000004,1004,129,살고지입구,233001299,36947.0,화성시,37.1629167,126.66651670000002,233000004.0,41037102.0
7393,88243,233000004,1004,130,개경촌,233000871,37007.0,화성시,37.1648,126.66433329999998,233000004.0,41037102.0
7394,88244,233000004,1004,131,제부해수탕,233000753,36763.0,화성시,37.1671833,126.659,233000004.0,41037102.0
7395,88245,233000004,1004,132,제부도입구,233000872,37001.0,화성시,37.1721167,126.6585333,233000004.0,41037102.0
7396,88246,233000004,1004,133,제부도입구,233001904,55349.0,화성시,37.17255,126.65921670000002,233000004.0,41037102.0
7397,88247,233000004,1004,134,돈말입구,233001930,55351.0,화성시,37.1748833,126.66385,233000004.0,41037102.0
7398,88248,233000004,1004,135,장외리.오리골,233001871,55348.0,화성시,37.177,126.66648329999998,233000004.0,41037102.0
7399,88249,233000005,330,1,장외리.오리골,233001903,37929.0,화성시,37.1769333,126.6663167,233000005.0,41037001.0
7400,88250,233000005,330,2,돈말입구,233001928,55350.0,화성시,37.1749833,126.66375,233000005.0,41037001.0
7401,88251,233000005,330,3,제부도입구,233001850,55347.0,화성시,37.1727833,126.65971670000002,233000005.0,41037001.0
7402,88252,233000005,330,4,제부도입구,233001293,37002.0,화성시,37.1722167,126.65838329999998,233000005.0,41037001.0
7403,88253,233000005,330,5,제부해수탕,233001872,37925.0,화성시,37.1669333,126.65923329999998,233000005.0,41037001.0
7404,88254,233000005,330,6,개경촌,233000749,37006.0,화성시,37.1647167,126.66428329999998,233000005.0,41037001.0
7405,88255,233000005,330,7,살고지입구,233001294,37008.0,화성시,37.1626,126.6671,233000005.0,41037001.0
7406,88256,233000005,330,8,송교1리,233000748,37013.0,화성시,37.1635,126.6689167,233000005.0,41037001.0
7407,88257,233000005,330,9,큰말입구,233000747,37014.0,화성시,37.1660667,126.67516670000002,233000005.0,41037001.0
7408,88258,233000005,330,10,장외리.지긋말,233000746,37017.0,화성시,37.1684667,126.6785,233000005.0,41037001.0
7409,88259,233000005,330,11,장외리,233001873,37930.0,화성시,37.17001670000001,126.6791333,233000005.0,41037001.0
7410,88260,233000005,330,12,장외리,233000745,37021.0,화성시,37.1741833,126.6808333,233000005.0,41037001.0
7411,88261,233000005,330,13,숲풀안앞,233001875,37784.0,화성시,37.1742,126.68565,233000005.0,41037001.0
7412,88262,233000005,330,14,광평삼거리,233000850,37563.0,화성시,37.17475,126.6889,233000005.0,41037001.0
7413,88263,233000005,330,15,느티나무앞,233001887,37928.0,화성시,37.1743,126.69135,233000005.0,41037001.0
7414,88264,233000005,330,16,광평주유소,233000851,37579.0,화성시,37.1728,126.6951,233000005.0,41037001.0
7415,88265,233000005,330,17,광평리,233001561,37032.0,화성시,37.1729833,126.69745,233000005.0,41037001.0
7416,88266,233000005,330,18,서신중학교후문,233003118,55514.0,화성시,37.1699,126.70175,233000005.0,41037001.0
7417,88267,233000005,330,19,매화리,233000852,37040.0,화성시,37.1686,126.7036333,233000005.0,41037001.0
7418,88268,233000005,330,20,서신터미널,233000853,37045.0,화성시,37.1694,126.7052333,233000005.0,41037001.0
7419,88269,233000005,330,21,상안리삼거리,233000344,37398.0,화성시,37.1739833,126.70668329999998,233000005.0,41037001.0
7420,88270,233000005,330,22,상안삼거리,233002315,55232.0,화성시,37.1769667,126.70668329999998,233000005.0,41037001.0
7421,88271,233000005,330,23,상안2리.SK주유소,233000744,37057.0,화성시,37.1790167,126.70803329999998,233000005.0,41037001.0
7422,88272,233000005,330,24,상안1.2리,233000743,37049.0,화성시,37.1828,126.70671670000002,233000005.0,41037001.0
7423,88273,233000005,330,25,상안1리,233000742,37059.0,화성시,37.1851,126.7098667,233000005.0,41037001.0
7424,88274,233000005,330,26,신흥사,233000741,37062.0,화성시,37.1898333,126.71363329999998,233000005.0,41037001.0
7425,88275,233000005,330,27,상안리.한국발효,233000879,36767.0,화성시,37.19300000000001,126.7167333,233000005.0,41037001.0
7426,88276,233000005,330,28,육일2리.코스코밸리,233000854,37068.0,화성시,37.1995,126.72285,233000005.0,41037001.0
7427,88277,233000005,330,29,육일리교차로,233001482,37557.0,화성시,37.2033333,126.7244,233000005.0,41037001.0
7428,88278,233000005,330,30,육일리마을회관,233002330,55172.0,화성시,37.2082167,126.7258667,233000005.0,41037001.0
7429,88279,233000005,330,31,육일리.육교동입구,233000269,37369.0,화성시,37.2097333,126.7282333,233000005.0,41037001.0
7430,88280,233000005,330,32,사강복지회관,233000855,37080.0,화성시,37.2127,126.73265,233000005.0,41037001.0
7431,88281,233000005,330,33,사강시장,233000268,37084.0,화성시,37.2130167,126.73663329999998,233000005.0,41037001.0
7432,88282,233000005,330,34,사강정형외과,233000267,37088.0,화성시,37.2133833,126.7389833,233000005.0,41037001.0
7433,88283,233000005,330,35,봉가1리,233000289,37094.0,화성시,37.2122833,126.74491670000002,233000005.0,41037001.0
7434,88284,233000005,330,36,돼지고개.삼존리물미,233000740,37098.0,화성시,37.2114,126.7537667,233000005.0,41037001.0
7435,88285,233000005,330,37,삼존리,233000739,37099.0,화성시,37.2111833,126.75905,233000005.0,41037001.0
7436,88286,233000005,330,38,슬항3리,233002153,55096.0,화성시,37.2093333,126.76288329999998,233000005.0,41037001.0
7437,88287,233000005,330,39,구리섬휴게소,233000738,37102.0,화성시,37.2084833,126.7647,233000005.0,41037001.0
7438,88288,233000005,330,40,외국인보호소,233000737,37103.0,화성시,37.2079667,126.76655,233000005.0,41037001.0
7439,88289,233000005,330,41,마도사거리,233000736,37106.0,화성시,37.2069,126.77425,233000005.0,41037001.0
7440,88290,233000005,330,42,재래시장.마도삼거리,233000735,37107.0,화성시,37.2063,126.78006670000002,233000005.0,41037001.0
7441,88291,233000005,330,43,두곡리,233000734,37110.0,화성시,37.2048,126.7841667,233000005.0,41037001.0
7442,88292,233000005,330,44,쌍송리입구.은장고개,233000733,37115.0,화성시,37.2022,126.7890667,233000005.0,41037001.0
7443,88293,233000005,330,45,남양육리.남양1동,233000732,36008.0,화성시,37.2039,126.8015333,233000005.0,41037001.0
7444,88294,233000005,330,46,우림아파트,233000731,36009.0,화성시,37.2054833,126.80585,233000005.0,41037001.0
7445,88295,233000005,330,47,경기남부수협.보건소,233002170,55115.0,화성시,37.2069167,126.8118833,233000005.0,41037001.0
7446,88296,233000005,330,48,남양성지,233000841,36015.0,화성시,37.20735,126.81498329999998,233000005.0,41037001.0
7447,88297,233000005,330,49,남양사거리,233000730,36019.0,화성시,37.2091667,126.81901670000002,233000005.0,41037001.0
7448,88298,233000005,330,50,남양읍행정복지센터,233000729,36025.0,화성시,37.2117667,126.8234167,233000005.0,41037001.0
7449,88299,233000005,330,51,남양도서관.동광뷰엘,233002704,55639.0,화성시,37.2090333,126.82645,233000005.0,41037001.0
7450,88300,233000005,330,52,남양동광뷰엘,233003108,55435.0,화성시,37.2085167,126.8299667,233000005.0,41037001.0
7451,88301,233000005,330,53,남양뉴타운4단지,233001975,36742.0,화성시,37.2101,126.83285,233000005.0,41037001.0
7454,88304,233000005,330,56,북양1통.봉림사,233000727,36035.0,화성시,37.2185833,126.83213329999998,233000005.0,41037001.0
7455,88305,233000005,330,57,북양1통.염티고개,233000726,36043.0,화성시,37.2220833,126.83983329999998,233000005.0,41037001.0
7456,88306,233000005,330,58,양노3리,233000725,37153.0,화성시,37.22685,126.8582167,233000005.0,41037001.0
7457,88307,233000005,330,59,양노리,233002118,55087.0,화성시,37.2288333,126.85995,233000005.0,41037001.0
7458,88308,233000005,330,60,삼화리,233000724,37162.0,화성시,37.2362,126.8637,233000005.0,41037001.0
7459,88309,233000005,330,61,천산아파트,233000723,37169.0,화성시,37.2364667,126.86598329999998,233000005.0,41037001.0
7460,88310,233000005,330,62,비봉초등학교후문,233000722,37171.0,화성시,37.2362167,126.8682333,233000005.0,41037001.0
7461,88311,233000005,330,63,비봉중고등학교,233000721,37186.0,화성시,37.2368667,126.8739,233000005.0,41037001.0
7462,88312,233000005,330,64,연화가든앞,233002039,55017.0,화성시,37.24355,126.8751,233000005.0,41037001.0
7463,88313,233000005,330,65,구포리,233000538,37176.0,화성시,37.2500333,126.87235,233000005.0,41037001.0
7464,88314,233000005,330,66,야목리,233000537,37193.0,화성시,37.2649167,126.87756670000002,233000005.0,41037001.0
7465,88315,233000005,330,67,매송휴먼시아후문,233002354,55236.0,화성시,37.2677333,126.8808667,233000005.0,41037001.0
7466,88316,233000005,330,68,송라리,233000536,37215.0,화성시,37.2749,126.8868,233000005.0,41037001.0
7467,88317,233000005,330,69,원리,233000535,37211.0,화성시,37.2775667,126.8851167,233000005.0,41037001.0
7519,88369,233000005,330,121,원리,233000534,37210.0,화성시,37.27765,126.88495,233000005.0,41037001.0
7520,88370,233000005,330,122,송라1리,233000533,37214.0,화성시,37.2754333,126.88645,233000005.0,41037001.0
7521,88371,233000005,330,123,야목리,233000532,37194.0,화성시,37.26615,126.87825,233000005.0,41037001.0
7522,88372,233000005,330,124,구포리,233000873,37175.0,화성시,37.25005,126.87225,233000005.0,41037001.0
7523,88373,233000005,330,125,왕재골입구,233002040,55008.0,화성시,37.2435167,126.87498329999998,233000005.0,41037001.0
7524,88374,233000005,330,126,비봉중고등학교,233000778,37183.0,화성시,37.2367167,126.8732167,233000005.0,41037001.0
7525,88375,233000005,330,127,비봉초등학교후문.삼화3리,233000777,37170.0,화성시,37.2363167,126.86815,233000005.0,41037001.0
7526,88376,233000005,330,128,천산아파트,233000776,37168.0,화성시,37.23655,126.86598329999998,233000005.0,41037001.0
7527,88377,233000005,330,129,삼화리.천산아파트,233000774,37161.0,화성시,37.2360833,126.8629167,233000005.0,41037001.0
7528,88378,233000005,330,130,양노리,233000773,37154.0,화성시,37.2290833,126.8597667,233000005.0,41037001.0
7529,88379,233000005,330,131,양노3리,233003082,55393.0,화성시,37.2267667,126.8577167,233000005.0,41037001.0
7530,88380,233000005,330,132,북양1통.염티고개,233000772,36042.0,화성시,37.2221333,126.83903329999998,233000005.0,41037001.0
7531,88381,233000005,330,133,북양1통,233000771,37776.0,화성시,37.21895,126.8318,233000005.0,41037001.0
7533,88383,233000005,330,135,남양뉴타운4단지,233003107,55434.0,화성시,37.2102833,126.83261670000002,233000005.0,41037001.0
7534,88384,233000005,330,136,남양동광뷰엘,233003109,55436.0,화성시,37.2087167,126.83005,233000005.0,41037001.0
7535,88385,233000005,330,137,남양도서관.동광뷰엘,233002705,55640.0,화성시,37.2091,126.82666670000002,233000005.0,41037001.0
7536,88386,233000005,330,138,남양읍행정복지센터,233000769,36026.0,화성시,37.21195,126.8233667,233000005.0,41037001.0
7537,88387,233000005,330,139,남양사거리,233000768,36021.0,화성시,37.2094333,126.8191,233000005.0,41037001.0
7538,88388,233000005,330,140,남양성지,233000767,36014.0,화성시,37.2076167,126.8160667,233000005.0,41037001.0
7539,88389,233000005,330,141,경기남부수협.보건소,233002171,55116.0,화성시,37.2070333,126.81185,233000005.0,41037001.0
7540,88390,233000005,330,142,우림아파트,233000766,36010.0,화성시,37.20565,126.80613329999998,233000005.0,41037001.0
7541,88391,233000005,330,143,남양육리.남양1동,233000765,36007.0,화성시,37.2039833,126.80096670000002,233000005.0,41037001.0
7542,88392,233000005,330,144,은장고개,233001298,37114.0,화성시,37.2026667,126.7882833,233000005.0,41037001.0
7543,88393,233000005,330,145,두곡리,233000764,37109.0,화성시,37.2055333,126.7831667,233000005.0,41037001.0
7544,88394,233000005,330,146,재래시장.마도삼거리,233000763,37108.0,화성시,37.2063333,126.7808,233000005.0,41037001.0
7545,88395,233000005,330,147,마도사거리,233000762,37105.0,화성시,37.20715,126.7746,233000005.0,41037001.0
7546,88396,233000005,330,148,외국인보호소,233000761,37104.0,화성시,37.20805,126.76711670000002,233000005.0,41037001.0
7547,88397,233000005,330,149,구리섬앞,233000857,37562.0,화성시,37.2087167,126.7646,233000005.0,41037001.0
7548,88398,233000005,330,150,구리섬휴게소,233000760,37101.0,화성시,37.2094667,126.76305,233000005.0,41037001.0
7549,88399,233000005,330,151,삼존리자동차성능시험장,233000759,37100.0,화성시,37.2108,126.7605167,233000005.0,41037001.0
7550,88400,233000005,330,152,돼지고개.삼존리물미,233000877,37097.0,화성시,37.2116833,126.7553833,233000005.0,41037001.0
7551,88401,233000005,330,153,봉가1리,233000878,37095.0,화성시,37.2122833,126.74531670000002,233000005.0,41037001.0
7552,88402,233000005,330,154,송산농협.사강정형외과,233000858,37089.0,화성시,37.21346670000001,126.7389,233000005.0,41037001.0
7553,88403,233000005,330,155,사강시장,233000859,37085.0,화성시,37.2131833,126.7369167,233000005.0,41037001.0
7554,88404,233000005,330,156,사강복지회관,233000271,37081.0,화성시,37.2128667,126.7326333,233000005.0,41037001.0
7555,88405,233000005,330,157,육일리.육교동입구,233000270,37370.0,화성시,37.2093667,126.72775,233000005.0,41037001.0
7556,88406,233000005,330,158,육일리마을회관,233000136,36440.0,화성시,37.2072833,126.7249833,233000005.0,41037001.0
7557,88407,233000005,330,159,육일리교차로,233001483,37556.0,화성시,37.2037,126.72428329999998,233000005.0,41037001.0
7558,88408,233000005,330,160,육일2리.코스코밸리,233000860,37069.0,화성시,37.2001667,126.7228833,233000005.0,41037001.0
7559,88409,233000005,330,161,상안리.한국발효,233000758,37471.0,화성시,37.19305,126.7166,233000005.0,41037001.0
7560,88410,233000005,330,162,신흥사,233000861,37061.0,화성시,37.18991670000001,126.7135,233000005.0,41037001.0
7561,88411,233000005,330,163,상안1리,233000757,37058.0,화성시,37.18515,126.70971670000002,233000005.0,41037001.0
7562,88412,233000005,330,164,상안1.2리,233000756,37048.0,화성시,37.1825667,126.7064667,233000005.0,41037001.0
7563,88413,233000005,330,165,상안2리.SK주유소,233000862,37054.0,화성시,37.1795833,126.70815,233000005.0,41037001.0
7564,88414,233000005,330,166,상안삼거리,233002316,55225.0,화성시,37.17495,126.7061167,233000005.0,41037001.0
7565,88415,233000005,330,167,서신,233000863,37043.0,화성시,37.1694333,126.70508329999998,233000005.0,41037001.0
7566,88416,233000005,330,168,매화리,233000324,37041.0,화성시,37.1687,126.7036333,233000005.0,41037001.0
7567,88417,233000005,330,169,서신중학교후문,233003119,55515.0,화성시,37.1699667,126.7018,233000005.0,41037001.0
7568,88418,233000005,330,170,목성머리,233000755,37578.0,화성시,37.1731167,126.6972,233000005.0,41037001.0
7569,88419,233000005,330,171,광평리,233000864,37031.0,화성시,37.1729833,126.69441670000002,233000005.0,41037001.0
7570,88420,233000005,330,172,느티나무앞,233001888,37927.0,화성시,37.1743667,126.6914,233000005.0,41037001.0
7571,88421,233000005,330,173,광평삼거리,233000754,37564.0,화성시,37.1748167,126.6889167,233000005.0,41037001.0
7572,88422,233000005,330,174,숲풀안앞,233001876,37783.0,화성시,37.1742833,126.6856,233000005.0,41037001.0
