,Unnamed: 0,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,표준정류장ID,시군명,WGS84위도,WGS84경도
3558,7582,164406,241319005,공영1(사곳.궁평),19,매화리,233000852,37040.0,233000852,화성시,37.1686,126.70363329999999
4198,7591,165281,241319032,20-3(왕모대시청),30,서신터미널,233000853,37045.0,233000853,화성시,37.1694,126.70523329999999
4233,7595,165283,241319032,20-3(왕모대시청),32,상안리삼거리,233000344,37398.0,233000344,화성시,37.173983299999996,126.70668329999998
4257,7599,165285,241319032,20-3(왕모대시청),34,상안2리.SK주유소,233000744,37057.0,233000744,화성시,37.1790167,126.70803329999998
4305,7616,165174,241319029,20-1(백곡리),7,육일2리.코스코밸리,233000854,37068.0,233000854,화성시,37.1995,126.72285
4599,7622,165175,241319029,20-1(백곡리),8,육일리교차로,233001482,37557.0,233001482,화성시,37.2033333,126.7244
4759,7628,165176,241319029,20-1(백곡리),9,육일리마을회관,233002330,55172.0,233002330,화성시,37.2082167,126.72586670000001
4975,7634,164455,241319005,공영1(사곳.궁평),68,육일리.육교동입구,233000269,37369.0,233000269,화성시,37.209733299999996,126.72823329999999
6535,7645,164312,241319002,20(마산포),30,사강복지회관,233000855,37080.0,233000855,화성시,37.2127,126.73265
85285,7680,164313,241319002,20(마산포),31,사강시장,233000268,37084.0,233000268,화성시,37.213016700000004,126.73663329999998
133585,7715,164314,241319002,20(마산포),32,사강정형외과,233000267,37088.0,233000267,화성시,37.2133833,126.73898329999999
244859,7760,164631,241319009,공영2(삼존대광A),3,봉가1리,233000289,37094.0,233000289,화성시,37.212283299999996,126.74491670000002
251963,7776,164680,241319010,공영2(송정대광A),4,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시,37.2114,126.75376670000001
255707,7789,164681,241319010,공영2(송정대광A),5,삼존리,233000739,37099.0,233000739,화성시,37.2111833,126.75905
257051,7801,164635,241319009,공영2(삼존대광A),7,슬항3리,233002153,55096.0,233002153,화성시,37.2093333,126.76288329999998
259856,7821,164636,241319009,공영2(삼존대광A),8,외국인보호소,233000737,37103.0,233000737,화성시,37.2079667,126.76655
266368,7837,164637,241319009,공영2(삼존대광A),9,마도사거리,233000736,37106.0,233000736,화성시,37.2069,126.77425
268084,7848,165300,241319032,20-3(왕모대시청),49,재래시장.마도삼거리,233000735,37107.0,233000735,화성시,37.2063,126.78006670000002
268876,7856,165301,241319032,20-3(왕모대시청),50,두곡리,233000734,37110.0,233000734,화성시,37.2048,126.78416670000001
269516,7864,188444,241483002,5-2,20,쌍송리입구.은장고개,233000733,37115.0,233000733,화성시,37.2022,126.7890667
269612,7870,165309,241319032,20-3(왕모대시청),58,남양육리.남양1동,233000732,36008.0,233000732,화성시,37.2039,126.80153329999999
271052,7881,164645,241319009,공영2(삼존대광A),17,우림아파트,233000731,36009.0,233000731,화성시,37.2054833,126.80585
277916,7896,164646,241319009,공영2(삼존대광A),18,경기남부수협.보건소,233002170,55115.0,233002170,화성시,37.2069167,126.81188329999999
284021,7912,165630,241319043,20-4A,25,남양성지,233000841,36015.0,233000841,화성시,37.20735,126.81498329999998
290709,7928,92026,233000134,1001,88,남양사거리,233000730,36019.0,233000730,화성시,37.209166700000004,126.81901670000002
296880,7945,92027,233000134,1001,89,남양읍행정복지센터,233000729,36025.0,233000729,화성시,37.2117667,126.82341670000001
300000,7957,92028,233000134,1001,90,동수원남양병원,233000728,36029.0,233000728,화성시,37.2145333,126.82956670000002
300399,7965,92029,233000134,1001,91,북양1통.봉림사,233000727,36035.0,233000727,화성시,37.2185833,126.83213329999998
300559,7973,92030,233000134,1001,92,북양1통.염티고개,233000726,36043.0,233000726,화성시,37.2220833,126.83983329999998
300727,7981,92031,233000134,1001,93,양노3리,233000725,37153.0,233000725,화성시,37.22685,126.85821670000001
300887,7989,92032,233000134,1001,94,양노리,233002118,55087.0,233002118,화성시,37.2288333,126.85995
301062,8223,92007,233000134,1001,69,양노리,233000773,37154.0,233000773,화성시,37.2290833,126.85976670000001
301262,8231,92008,233000134,1001,70,양노3리,233003082,55393.0,233003082,화성시,37.2267667,126.85771670000001
301422,8240,92009,233000134,1001,71,북양1통.염티고개,233000772,36042.0,233000772,화성시,37.222133299999996,126.83903329999998
301611,8247,92010,233000134,1001,72,북양1통,233000771,37776.0,233000771,화성시,37.21895,126.8318
301737,8255,92011,233000134,1001,73,동수원남양병원,233000770,36030.0,233000770,화성시,37.2147333,126.82951670000001
302193,8264,92012,233000134,1001,74,남양읍행정복지센터,233000769,36026.0,233000769,화성시,37.21195,126.82336670000001
304923,8277,92013,233000134,1001,75,남양사거리,233000768,36021.0,233000768,화성시,37.2094333,126.8191
307497,8290,165631,241319043,20-4A,26,남양성지,233000767,36014.0,233000767,화성시,37.2076167,126.81606670000001
312627,8304,164658,241319009,공영2(삼존대광A),30,경기남부수협.보건소,233002171,55116.0,233002171,화성시,37.2070333,126.81185
319139,8321,164659,241319009,공영2(삼존대광A),31,우림아파트,233000766,36010.0,233000766,화성시,37.20565,126.80613329999998
326432,8337,165688,241319044,20-4B,31,남양육리.남양1동,233000765,36007.0,233000765,화성시,37.2039833,126.80096670000002
327008,8344,188464,241483002,5-2,40,은장고개,233001298,37114.0,233001298,화성시,37.2026667,126.78828329999999
327104,8350,165331,241319032,20-3(왕모대시청),80,두곡리,233000764,37109.0,233000764,화성시,37.2055333,126.78316670000001
327744,8359,165332,241319032,20-3(왕모대시청),81,재래시장.마도삼거리,233000763,37108.0,233000763,화성시,37.2063333,126.7808
328536,8368,164668,241319009,공영2(삼존대광A),40,마도사거리,233000762,37105.0,233000762,화성시,37.20715,126.7746
330252,8379,164669,241319009,공영2(삼존대광A),41,외국인보호소,233000761,37104.0,233000761,화성시,37.20805,126.76711670000002
337800,8395,164670,241319009,공영2(삼존대광A),42,구리섬앞,233000857,37562.0,233000857,화성시,37.208716700000004,126.7646
341256,8411,164671,241319009,공영2(삼존대광A),43,구리섬휴게소,233000760,37101.0,233000760,화성시,37.2094667,126.76305
345864,8427,164672,241319009,공영2(삼존대광A),44,삼존리자동차성능시험장,233000759,37100.0,233000759,화성시,37.2108,126.76051670000001
349320,8443,164673,241319009,공영2(삼존대광A),45,돼지고개.삼존리물미,233000877,37097.0,233000877,화성시,37.2116833,126.75538329999999
354600,8458,164674,241319009,공영2(삼존대광A),46,봉가1리,233000878,37095.0,233000878,화성시,37.212283299999996,126.74531670000002
360705,8474,188474,241483002,5-2,50,송산농협.사강정형외과,233000858,37089.0,233000858,화성시,37.213466700000005,126.7389
360831,8481,188475,241483002,5-2,51,사강시장,233000859,37085.0,233000859,화성시,37.2131833,126.73691670000001
361475,8488,164284,241319002,20(마산포),2,사강복지회관,233000271,37081.0,233000271,화성시,37.2128667,126.73263329999999
445175,8523,164390,241319005,공영1(사곳.궁평),3,육일리.육교동입구,233000270,37370.0,233000270,화성시,37.209366700000004,126.72775
447671,8535,165171,241319029,20-1(백곡리),4,육일리마을회관,233000136,36440.0,233000136,화성시,37.2072833,126.72498329999999
448247,8542,165172,241319029,20-1(백곡리),5,육일리교차로,233001483,37556.0,233001483,화성시,37.2037,126.72428329999998
448695,8561,165259,241319032,20-3(왕모대시청),8,상안2리.SK주유소,233000862,37054.0,233000862,화성시,37.1795833,126.70815
448743,8569,164439,241319005,공영1(사곳.궁평),52,매화리,233000324,37041.0,233000324,화성시,37.1687,126.70363329999999
449383,8577,164440,241319005,공영1(사곳.궁평),53,서신중학교후문,233003119,55515.0,233003119,화성시,37.1699667,126.7018
450023,8585,164442,241319005,공영1(사곳.궁평),55,목성머리,233000755,37578.0,233000755,화성시,37.1731167,126.6972
450343,8593,164443,241319005,공영1(사곳.궁평),56,광평리,233000864,37031.0,233000864,화성시,37.1729833,126.69441670000002
450983,8601,164444,241319005,공영1(사곳.궁평),57,느티나무앞,233001888,37927.0,233001888,화성시,37.1743667,126.6914
451623,8610,164445,241319005,공영1(사곳.궁평),58,광평삼거리,233000754,37564.0,233000754,화성시,37.1748167,126.68891670000001
452433,8618,188415,241483001,5-1A,45,숲풀안앞,233001876,37783.0,233001876,화성시,37.1742833,126.6856
452465,8623,188416,241483001,5-1A,46,장외리,233000865,37020.0,233000865,화성시,37.17425,126.6807
452545,8628,188418,241483001,5-1A,48,장외리.지긋말,233000866,37016.0,233000866,화성시,37.1684,126.67831670000001
452595,8632,188419,241483001,5-1A,49,큰말입구,233000867,37015.0,233000867,화성시,37.1661167,126.67508329999998
452627,8636,188420,241483001,5-1A,50,송교1리,233000868,37012.0,233000868,화성시,37.1636,126.6689
452659,8641,188421,241483001,5-1A,51,살고지입구,233001299,36947.0,233001299,화성시,37.162916700000004,126.66651670000002
452704,8645,188422,241483001,5-1A,52,개경촌,233000871,37007.0,233000871,화성시,37.1648,126.66433329999998
452736,8649,188423,241483001,5-1A,53,제부해수탕,233000753,36763.0,233000753,화성시,37.1671833,126.65899999999999
452764,8654,188424,241483001,5-1A,54,제부도입구,233000872,37001.0,233000872,화성시,37.172116700000004,126.65853329999999
452864,8670,188373,241483001,5-1A,3,제부해수탕,233001872,37925.0,233001872,화성시,37.1669333,126.65923329999998
452885,8674,188375,241483001,5-1A,5,살고지입구,233001294,37008.0,233001294,화성시,37.1626,126.6671
452921,8677,188379,241483001,5-1A,9,장외리,233001873,37930.0,233001873,화성시,37.170016700000005,126.67913329999999
452969,8679,165284,241319032,20-3(왕모대시청),33,상안삼거리,233002315,55232.0,233002315,화성시,37.1769667,126.70668329999998
452987,8681,167905,241335026,50-2(금강),27,남양도서관.동광뷰엘,233002704,55639.0,233002704,화성시,37.2090333,126.82645
453317,8687,167906,241335026,50-2(금강),28,남양동광뷰엘,233003108,55435.0,233003108,화성시,37.208516700000004,126.82996670000001
453517,8697,188897,241483017,50-8(송산),10,유일병원,233001404,36719.0,233001404,화성시,37.21724864,126.8323305
453532,8702,92033,233000134,1001,95,삼화리,233000724,37162.0,233000724,화성시,37.2362,126.8637
453609,8709,92034,233000134,1001,96,천산아파트,233000723,37169.0,233000723,화성시,37.2364667,126.86598329999998
453770,8716,92035,233000134,1001,97,비봉초등학교후문,233000722,37171.0,233000722,화성시,37.2362167,126.86823329999999
453847,8724,92036,233000134,1001,98,비봉중고등학교,233000721,37186.0,233000721,화성시,37.2368667,126.8739
454039,8952,92003,233000134,1001,65,비봉중고등학교,233000778,37183.0,233000778,화성시,37.2367167,126.87321670000001
454207,8960,92004,233000134,1001,66,비봉초등학교후문.삼화3리,233000777,37170.0,233000777,화성시,37.2363167,126.86815
454303,8968,92005,233000134,1001,67,천산아파트,233000776,37168.0,233000776,화성시,37.23655,126.86598329999998
454487,8976,92006,233000134,1001,68,삼화리.천산아파트,233000774,37161.0,233000774,화성시,37.2360833,126.86291670000001
454575,8985,167885,241335026,50-2(금강),7,남양동광뷰엘,233003109,55436.0,233003109,화성시,37.208716700000004,126.83005
454775,8990,167886,241335026,50-2(금강),8,남양도서관.동광뷰엘,233002705,55640.0,233002705,화성시,37.2091,126.82666670000002
454995,8998,165260,241319032,20-3(왕모대시청),9,상안삼거리,233002316,55225.0,233002316,화성시,37.17495,126.70611670000001
455022,9001,188417,241483001,5-1A,47,장외리,233001874,37926.0,233001874,화성시,37.170016700000005,126.67903329999999
455070,9002,88547,233000010,33-1,1,조암터미널,233000928,36013.0,233000928,화성시,37.0822333,126.8158
655806,9038,88548,233000010,33-1,2,조암터미널(경유),277102511,,277102511,화성시,37.0859333,126.81616670000001
655810,9040,88549,233000010,33-1,3,우정읍행정복지센터,233002091,55066.0,233002091,화성시,37.0884333,126.81655
656060,9045,88550,233000010,33-1,4,삼괴중고교,233002089,55064.0,233002089,화성시,37.0882667,126.8211
656285,9050,88551,233000010,33-1,5,조암한라비발디,233002243,37750.0,233002243,화성시,37.0880333,126.82371670000002
656435,9055,88552,233000010,33-1,6,어은삼거리,233000931,37122.0,233000931,화성시,37.0859167,126.8264
657611,9062,88553,233000010,33-1,7,장안면행정복지센터,233000932,37126.0,233000932,화성시,37.078733299999996,126.83041670000001
658115,9068,88554,233000010,33-1,8,사랑리,233000514,37129.0,233000514,화성시,37.0734333,126.834
658390,9073,88555,233000010,33-1,9,덕다2리앞,233001248,37514.0,233001248,화성시,37.0693833,126.8376
658515,9078,88556,233000010,33-1,10,덕다리입구,233001144,37490.0,233001144,화성시,37.06765,126.83795
658668,9081,88557,233000010,33-1,11,덕다리입구,233000933,37131.0,233000933,화성시,37.066733299999996,126.83926670000001
658940,9085,88558,233000010,33-1,12,독정1리,233000934,37136.0,233000934,화성시,37.0667,126.84605
659084,9089,88559,233000010,33-1,13,독정삼거리,233001815,37894.0,233001815,화성시,37.07017499,126.8496072
659092,9090,88560,233000010,33-1,14,독정2리,233000935,37141.0,233000935,화성시,37.0718,126.85376670000001
659108,9092,88561,233000010,33-1,15,위닉스,233001772,37791.0,233001772,화성시,37.0745333,126.85623329999999
659110,9093,88562,233000010,33-1,16,감드러지(독정3리),233000936,37147.0,233000936,화성시,37.07745,126.85703329999998
659112,9094,88563,233000010,33-1,17,독정3리,233000512,37152.0,233000512,화성시,37.0798167,126.85915
659124,9096,88564,233000010,33-1,18,독정4리,233000511,37156.0,233000511,화성시,37.0818833,126.86108329999999
659144,9098,88565,233000010,33-1,19,수촌2리.황골,233000937,37160.0,233000937,화성시,37.08875,126.86200000000001
659152,9100,88566,233000010,33-1,20,꽃밭,233000510,37157.0,233000510,화성시,37.0931,126.8619
659155,9101,88567,233000010,33-1,21,성문,233000394,37166.0,233000394,화성시,37.1032833,126.8658
659239,9105,88568,233000010,33-1,22,해창2리.능인대학원대학교,233000393,37179.0,233000393,화성시,37.108116700000004,126.87251670000002
659374,9110,88569,233000010,33-1,23,해창리,233000392,36873.0,233000392,화성시,37.1126,126.87916670000001
659410,9113,88570,233000010,33-1,24,해창1리.우리꽃식물원,233001402,37206.0,233001402,화성시,37.1130333,126.882
661930,9125,88571,233000010,33-1,25,매곡리,233000391,37217.0,233000391,화성시,37.11725,126.88846670000001
664020,9136,88572,233000010,33-1,26,한국폴리텍대학,233000390,37225.0,233000390,화성시,37.1217833,126.8929
665316,9145,88573,233000010,33-1,27,제암리,233001388,37231.0,233001388,화성시,37.1240333,126.8962833
666756,9155,88574,233000010,33-1,28,동양빌딩앞,233000389,36874.0,233000389,화성시,37.1270167,126.90176670000001
667652,9163,88575,233000010,33-1,29,우림아파트.화성노인회관,233000525,37250.0,233000525,화성시,37.12785,126.90281670000002
668324,9171,88576,233000010,33-1,30,주공아파트,233000524,37245.0,233000524,화성시,37.1304833,126.89996670000001
668891,9180,88577,233000010,33-1,31,장짐삼거리앞,233002157,55156.0,233002157,화성시,37.1386667,126.89946670000002
669161,9186,88578,233000010,33-1,32,화성중고등학교,233000526,37255.0,233000526,화성시,37.1380333,126.90548329999999
722109,9217,88579,233000010,33-1,33,발안삼거리.바다마트,233001371,37273.0,233001371,화성시,37.1356167,126.9113
769167,9248,88580,233000010,33-1,34,KEB하나은행발안지점,233001934,37940.0,233001934,화성시,37.1333667,126.91078329999999
787767,9278,88581,233000010,33-1,35,발안초등학교,233000632,37464.0,233000632,화성시,37.1310333,126.91216670000001
801105,9304,88582,233000010,33-1,36,향남읍행정복지센터,233001023,37289.0,233001023,화성시,37.1315333,126.91975
823392,9327,88583,233000010,33-1,37,화성소방서.향남홈플러스,233001955,37991.0,233001955,화성시,37.1305,126.92095
835002,9345,88584,233000010,33-1,38,에일린의뜰,233002103,55084.0,233002103,화성시,37.1278667,126.92061670000001
837732,9360,88585,233000010,33-1,39,단독주택단지,233002105,55085.0,233002105,화성시,37.124333299999996,126.91986670000001
849683,9379,88586,233000010,33-1,40,방축리,233001109,37280.0,233001109,화성시,37.12,126.9183667
861311,9398,88587,233000010,33-1,41,향남주공1.2단지,233002411,55286.0,233002411,화성시,37.1188167,126.91585
865536,9411,88588,233000010,33-1,42,향남부영3단지,233002413,55288.0,233002413,화성시,37.11895,126.91158329999999
870099,9424,88589,233000010,33-1,43,향남부영6단지,233002274,55615.0,233002274,화성시,37.11447466,126.9093707
870547,9432,88590,233000010,33-1,44,하길중학교,233002416,37274.0,233002416,화성시,37.11285,126.90811670000001
871345,9439,88591,233000010,33-1,45,향남부영13단지,233002469,55322.0,233002469,화성시,37.1092333,126.9079
871849,9446,88592,233000010,33-1,46,상신하길로주택,233001547,55478.0,233001547,화성시,37.106133299999996,126.90266670000001
872353,9453,88593,233000010,33-1,47,상신6리,233001529,37407.0,233001529,화성시,37.1039667,126.90111670000002
878473,9471,88594,233000010,33-1,48,상신리,233001530,37406.0,233001530,화성시,37.1011167,126.90168329999999
879001,9477,88595,233000010,33-1,49,향남제약공단앞,233000813,37468.0,233000813,화성시,37.095916700000004,126.90703329999998
880153,9489,88596,233000010,33-1,50,제약공단후문.구문천1리입구,233001531,37405.0,233001531,화성시,37.0901333,126.91035
882457,9501,88597,233000010,33-1,51,구문천리,233000812,36758.0,233000812,화성시,37.0873833,126.91045
882912,9508,88598,233000010,33-1,52,구문천리,233000806,37469.0,233000806,화성시,37.0875333,126.91095
883224,9514,88599,233000010,33-1,53,제약공단후문.구문천1리입구,233000805,36759.0,233000805,화성시,37.09015,126.91075
885528,9526,88600,233000010,33-1,54,상신리,233000804,36760.0,233000804,화성시,37.1011333,126.90195
888696,9542,88601,233000010,33-1,55,상신6리,233000803,37470.0,233000803,화성시,37.1028667,126.90171670000001
893592,9558,88602,233000010,33-1,56,상신하길로주택,233001548,55479.0,233001548,화성시,37.1059667,126.90286670000002
894096,9565,88603,233000010,33-1,57,향남부영13단지,233002474,55323.0,233002474,화성시,37.109533299999995,126.90811670000001
894600,9572,88604,233000010,33-1,58,하길중학교,233002417,36697.0,233002417,화성시,37.1133,126.90871670000001
895664,9580,88605,233000010,33-1,59,향남부영3단지,233002412,55287.0,233002412,화성시,37.1195333,126.91255
900578,9594,88606,233000010,33-1,60,향남주공1.2단지,233002410,55285.0,233002410,화성시,37.1190167,126.91446670000002
905128,9608,88607,233000010,33-1,61,방축리,233000618,37281.0,233000618,화성시,37.120033299999996,126.91866670000002
916756,9627,88608,233000010,33-1,62,단독주택단지,233002106,55081.0,233002106,화성시,37.12425,126.92018329999999
930076,9647,88609,233000010,33-1,63,신영지웰,233002104,55080.0,233002104,화성시,37.1278,126.92101670000001
934972,9665,88610,233000010,33-1,64,화성소방서.향남홈플러스,233001860,37903.0,233001860,화성시,37.13055,126.92135
953763,9688,88611,233000010,33-1,65,향남읍행정복지센터,233000633,37288.0,233000633,화성시,37.1317667,126.91915
980283,9714,88612,233000010,33-1,66,화성중앙병원.발안초등학교,233001026,37269.0,233001026,화성시,37.1311833,126.9115
995403,9741,88613,233000010,33-1,67,발안농협,233000816,37265.0,233000816,화성시,37.12945,126.90941670000001
995451,9745,88614,233000010,33-1,68,동양빌딩앞,233000384,37248.0,233000384,화성시,37.1272167,126.90178329999999
995955,9751,88615,233000010,33-1,69,제암리,233001395,37230.0,233001395,화성시,37.1242,126.89621670000001
996819,9759,88616,233000010,33-1,70,한국폴리텍대학,233001555,37224.0,233001555,화성시,37.1219,126.89271670000001
997575,9766,88617,233000010,33-1,71,매곡리,233000926,37216.0,233000926,화성시,37.1174333,126.88838329999999
998639,9774,88618,233000010,33-1,72,해창1리.우리꽃식물원,233000927,37205.0,233000927,화성시,37.1131333,126.88195
999962,9783,88619,233000010,33-1,73,해창리,233000442,36898.0,233000442,화성시,37.1124333,126.87799999999999
999998,9786,88620,233000010,33-1,74,해창2리.능인대학원대학교,233000381,36845.0,233000381,화성시,37.1082,126.87223329999999
1000070,9790,88621,233000010,33-1,75,성문,233000952,36706.0,233000952,화성시,37.10325136,126.8657558
1000098,9792,88622,233000010,33-1,76,꽃밭,233000509,37158.0,233000509,화성시,37.0929667,126.86188329999999
1000110,9794,88623,233000010,33-1,77,용당골,233000508,37159.0,233000508,화성시,37.0887167,126.8619
1000118,9796,88624,233000010,33-1,78,독정4리,233000507,37155.0,233000507,화성시,37.0819667,126.86098329999999
1000138,9798,88625,233000010,33-1,79,독정3리.거묵골,233000506,37151.0,233000506,화성시,37.0798,126.8590333
1000165,9801,88626,233000010,33-1,80,감드러지(독정3리),233000505,37148.0,233000505,화성시,37.0774167,126.85685
1000167,9802,88627,233000010,33-1,81,위닉스,233001774,37793.0,233001774,화성시,37.0745333,126.85605
1000169,9803,88628,233000010,33-1,82,독정2리,233000504,37142.0,233000504,화성시,37.0719167,126.85373329999999
1000185,9805,88629,233000010,33-1,83,독정삼거리,233000503,37139.0,233000503,화성시,37.07025,126.84946670000001
1000313,9809,88630,233000010,33-1,84,독정1리,233000502,37137.0,233000502,화성시,37.06685,126.84596670000002
1000538,9814,88631,233000010,33-1,85,덕다리입구,233000501,37132.0,233000501,화성시,37.0668333,126.83938329999998
1000963,9819,88632,233000010,33-1,86,덕다리입구,233001145,37489.0,233001145,화성시,37.0677,126.8380833
1001388,9824,88633,233000010,33-1,87,덕다2리앞(구래),233000500,36909.0,233000500,화성시,37.069416700000005,126.83771670000002
1001604,9830,88634,233000010,33-1,88,사랑리,233000499,37130.0,233000499,화성시,37.0734167,126.83425
1002000,9836,88635,233000010,33-1,89,장안면행정복지센터,233000498,37127.0,233000498,화성시,37.078816700000004,126.83056670000002
1002896,9844,88636,233000010,33-1,90,어은4리,233000497,37125.0,233000497,화성시,37.0818,126.82836670000002
1003792,9852,88637,233000010,33-1,91,어은삼거리,233001816,37792.0,233001816,화성시,37.0858833,126.8265
1005328,9860,88638,233000010,33-1,92,조암한라비발디,233002244,37968.0,233002244,화성시,37.0882,126.82371670000002
1005478,9865,88639,233000010,33-1,93,삼괴중고교,233002088,55067.0,233002088,화성시,37.0884333,126.82098329999998
1005622,9869,88640,233000010,33-1,94,우정읍행정복지센터,233002090,55065.0,233002090,화성시,37.0887167,126.81661670000001
1005872,9874,88641,233000010,33-1,95,조암터미널,233000929,36011.0,233000929,화성시,37.08215,126.81558329999999
1118048,9912,88958,233000013,2,2,조암삼거리(경유),277102392,,277102392,화성시,37.0809333,126.81455
1127728,9934,88959,233000013,2,3,장안여자중학교,233000992,36797.0,233000992,화성시,37.0785667,126.81521670000001
1133944,9948,88960,233000013,2,4,사곡6리,233000496,36910.0,233000496,화성시,37.0748167,126.81515
1134112,9962,88961,233000013,2,5,장안우체국,233002511,55388.0,233002511,화성시,37.072166700000004,126.81385
1135792,9972,88962,233000013,2,6,사곡1리,233000993,37478.0,233000993,화성시,37.069083299999996,126.80921670000001
1137472,9982,88963,233000013,2,7,장자터,233001776,37834.0,233001776,화성시,37.0664833,126.80216670000001
1139152,9992,88964,233000013,2,8,기아생활관,233000485,36918.0,233000485,화성시,37.064383299999996,126.79561670000001
1140752,10002,88965,233000013,2,9,화산삼거리,233000484,37604.0,233000484,화성시,37.0626167,126.79233329999998
1141352,10008,88966,233000013,2,10,화산1리,233001185,36786.0,233001185,화성시,37.061916700000005,126.78946670000002
1141592,10014,88967,233000013,2,11,석천2리입구,233001003,37477.0,233001003,화성시,37.05635,126.78133329999999
1141772,10019,88968,233000013,2,12,매향2리,233001245,36922.0,233001245,화성시,37.05105,126.7694
1142052,10024,88969,233000013,2,13,매향2리,233001004,36796.0,233001004,화성시,37.0485167,126.76523329999999
1142178,10027,88970,233000013,2,14,양지편,233001015,36799.0,233001015,화성시,37.0469,126.762
1142223,10030,88971,233000013,2,15,기아후문입구,233001007,37476.0,233001007,화성시,37.04385,126.75883329999999
1142277,10033,88972,233000013,2,16,매향,233000482,36919.0,233000482,화성시,37.0404,126.75146670000001
1142304,10036,88973,233000013,2,17,고온리종점,233000481,36920.0,233000481,화성시,37.0373167,126.74863329999998
1142331,10039,88974,233000013,2,18,고온리종점(경유),277101618,,277101618,화성시,37.0384,126.75021670000001
1142332,10040,88975,233000013,2,19,매향삼거리,233001009,36831.0,233001009,화성시,37.040383299999995,126.75163329999998
1142359,10043,88976,233000013,2,20,기아후문입구,233001008,36832.0,233001008,화성시,37.043516700000005,126.7586
1142413,10046,88977,233000013,2,21,양지편,233001016,36830.0,233001016,화성시,37.046833299999996,126.7621167
1142433,10048,88978,233000013,2,22,매향2리,233000480,37433.0,233000480,화성시,37.0484,126.76535
1142489,10050,88979,233000013,2,23,매향2리,233000479,36921.0,233000479,화성시,37.051,126.76956670000001
1142657,10054,88980,233000013,2,24,석천2리입구,233000478,36903.0,233000478,화성시,37.0562667,126.78146670000001
1142765,10058,88981,233000013,2,25,화산1리입구,233001010,37475.0,233001010,화성시,37.0617167,126.78933329999998
1142813,10062,88982,233000013,2,26,화산삼거리,233001011,37474.0,233001011,화성시,37.06255,126.79251670000001
1144413,10072,88983,233000013,2,27,기아생활관,233000477,36904.0,233000477,화성시,37.0643167,126.79586670000002
1146013,10082,88984,233000013,2,28,장자터,233001780,37839.0,233001780,화성시,37.066416700000005,126.80225
1148092,10093,88985,233000013,2,29,사곡1리,233000476,37434.0,233000476,화성시,37.0689,126.80925
1150171,10104,88986,233000013,2,30,장안우체국,233002512,55389.0,233002512,화성시,37.0721167,126.81395
1152250,10115,88987,233000013,2,31,사곡6리,233000487,37431.0,233000487,화성시,37.074966700000004,126.81533329999999
1152445,10130,88988,233000013,2,32,장안여자중학교,233000486,36917.0,233000486,화성시,37.0785667,126.8154
1159660,10145,88992,233000013,2,36,조암GS주유소,233000373,36022.0,233000373,화성시,37.0836,126.82048329999999
1160101,10152,89002,233000015,4,9,화산삼거리,233001554,36701.0,233001554,화성시,37.0626667,126.79246670000002
